name,artist,album,popularity,lyrics,segment,paraphrased_text,paraphrase_response,paraphrase_retries,reverse_response,reverse_retries,lcs_length,levenshtein_distance,reverse_lcs_length,reverse_levenshtein_distance
Twisted,Keith Sweat,Keith Sweat,69,"21 ContributorsTwisted Lyrics[Intro: Keith Sweat]
Oh yeah baby
You got to make your mind up
Yeah
Kut Klose, help me out

[Chorus: Keith Sweat & (Kut Klose)]
(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted over you
(I know I got what you need) I got what you need right here baby
(So what you wanna do)

[Verse 1: Keith Sweat]
Baby, baby I know
Baby I love you so
But you don’t feel like I do
Tell me what can I do

[Pre-Chorus: Keith Sweat & (Kut Klose)]
(But I gotta be strong) But I gotta be strong
(Did me wrong) Girl you did me wrong
(When I thought we were really down) I thought we were down
(So you say you want me) Now you say you want me girl
(Make up your mind) Ooh make up your mind
( ‘Cause I’m not gonna be here for long) I’m not gonna be here for long
You might also like[Chorus: Keith Sweat & (Kut Klose)]
(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted over you
(I know I got what you need) I got what you need right here baby
(So what you wanna do)

[Verse 2: Keith Sweat]
Baby, baby in time (Baby in time)
Baby I know you’ll find (I know you’ll find)
That what you needed was here (oh no no, no no no)
Think about it my dear

[Pre-Chorus: Keith Sweat & (Kut Klose)]
(But I gotta be strong) But I gotta be strong
(Did me wrong) Girl you did me wrong
(When I thought we were really down) I thought we were down
(Now you say you want me) Now you say you want me girl
(Make up your mind) Ooh make up your mind
( ‘Cause I’m not gonna be here for long) I’m not gonna be here for long

[Chorus: Keith Sweat & (Kut Klose)]
(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do)
Break it on down
[Verse 3: Pretty Russ]
You got me twisted thinking about the way that things use to be
When it was you and me girl I was so free, see
You had my heart from the start like Cupid
And I was just downright foolish and stupid
But now I know the reason for the pain and the headaches
You left me all alone now I can’t even concentrate
I guess I’ll wait for the day until you come back
Because my heart is where your love is at
You got me twisted

[Chorus: Keith Sweat & (Kut Klose)]
(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do) What are you gonna do baby
(You know you want my lovin') You know, I can make you feel real good if you let me baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do) What are you gonna do baby
(You know you want my lovin') You know you want my lovin' baby11Embed", [Chorus: Keith Sweat & (Kut Klose)] (You know you want my lovin') You know you want my lovin' baby (You got me twisted over you) Girl you got me twisted over you (I know I got what you need) I got what you need right here baby,"[Chorus: Keith Sweat & (Kut Klose)] (You know you're craving my affection) You're longing for my love, darling (You've got me all confused",with the things you do) (You keep me running back to you),0,"I'm sorry, but I'm unable to provide the specific lyrics that come before the given text.",0,0.04672897196261682,0.7570093457943925,0.025210084033613446,0.773109243697479
Say You'll Be There,Spice Girls,Spice,69,"20 ContributorsSay You’ll Be There Lyrics[Intro: Sporty, All]
Ah, say you'll be there
I'm giving you everything
All that joy can bring, this I swear

[Verse 1: Baby, Scary]
Last time that we had this conversation
I decided we should be friends, hey
But now we're going 'round in circles
Tell me, will this déjà vu never end? Oh
And now you tell me that you've fallen in love
Well I never ever thought that would be, ayy
This time you gotta take it easy
Throwing far too much emotions at me

[Pre-Chorus: Posh]
But any fool can see they're falling
I gotta make you understand

[Chorus: All, Baby]
I'm giving you everything
All that joy can bring, this I swear
I'll give you everything
And all that I want from you
Is a promise you will be there
Say you will be there
You might also like[Post-Chorus: Scary]
Ow, say you will be there
Oh, won't you sing it with me?

[Verse 2: Ginger]
If you put two and two together
You will see what our friendship is for, oh
If you can't work this equation
Then I guess I'll have to show you the door

[Pre-Chorus: Posh]
There is no need to say you love me
It would be better left unsaid

[Chorus: All, (Scary)]
I'm (I'm) giving you everything (I'll give you everything)
All that joy can bring (All that joy can bring)
This I swear (Yes, I swear)
And (And) all that I want from you (All I want from you)
Is a promise you (Is a promise you) will be there
Yeah, I want you

[Harmonica Solo]

[Pre-Chorus: Posh, Scary]
Any fool can see they're falling
I gotta make you understand
I'll give you everything, on this I swear
Just promise you'll always be there
[Chorus: All, (Sporty)]
I'm giving you everything (I'm giving you everything)
All that joy can bring (All that joy can bring)
This I swear (Yes, I swear)
And all that I want from you (All that I want from you)
Is a promise you (Want you to promise to)
Will be there (Always be there)

[Chorus: All, (Sporty)]
I'm giving you everything (I'm giving you everything)
All that joy can bring (All that joy can bring)
This I swear (Yes, I swear)
And all that I want from you (All that I want from you)
Is a promise you (Want you to promise to)
Will be there (Always be there)

[Chorus: All, (Sporty)]
I'm giving you everything (I'm giving you everything)
All that joy can bring (All that joy can bring)
This I swear (Yes, I swear)
And all that I want from you (All that I want from you)
Is a promise you (Want you to promise to)
Will be there (Always be there)5Embed",And all that I want from you (All that I want from you) Is a promise you (Want you to promise to) Will be there (Always be there)5Embed,And everything I need from you is,None,-1,"I'm sorry, but I'm unable to provide the lyrics that come before the given text.",0,-1.0,-1.0,0.10344827586206896,1.0
How Do U Want It (ft. K-Ci & JoJo),2Pac,All Eyez On Me,69,"115 ContributorsHow Do U Want It Lyrics[Chorus: K-Ci & JoJo]
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it yeah?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real

[Verse 1: 2Pac]
I love the way you activate your hips and push your ass out
Got a nigga wantin' it so bad, I'm about to pass out
Wanna dig you, and I can't even lie about it
Baby, just alleviate your clothes, time to fly up out it
Catch you at a club, oh shit, you got me fiendin'
Body talkin' shit to me, but I can't comprehend the meanin'
Now, if you wanna roll with me, then here's your chance
Doin' eighty on the freeway, police, catch me if you can
Forgive me, I'm a rider, still I'm just a simple man
All I want is money, fuck the fame, I'm a simple man
Mr. International, player with the passport
Just like Aladdin, bitch, get you anything you ask for
It's either him or me; Champagne, Hennessy
A favorite of my homies when we floss on our enemies
Witness as we creep to a low speed, peep what a ho need
Puff some mo' weed, funk, ya don't need
Approachin' hoochies with a passion, been a long day
But I've been driven by attraction in a strong way
Your body is bangin', baby, I love it when you flaunt it
Time to give it to daddy, nigga, now tell me how you want it
You might also like[Chorus: K-Ci & JoJo]
How do you want it?
How does it feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real

[Verse 2: 2Pac]
Tell me is it cool to fuck?
Did you think I come to talk? Am I a fool or what?
Positions on the floor, it's like erotic
Ironic, 'cause I'm somewhat psychotic
I'm hittin' switches on bitches
Like I been fixed with hydraulics
Up and down like a roller coaster
I'm up inside ya, I ain't quittin' 'til the show is over
'Cause I'm a rider, in and out just like a robbery
I'll probably be a freak and let you get on top of me
Get to rockin' these, nights full of Alizé
A livin' legend you ain't heard about
These niggas play these Cali days
C. Delores Tucker, you's a motherfucker
Instead of tryin' to help a nigga, you destroy a brother
Worse than the others; Bill Clinton, Mister Bob Dole
You're too old to understand the way the game's told
You're lame so I gotta hit you with the hot facts
Once I'm released, I'm makin' millions, nigga, top that
They wanna censor me; they'd rather see me in a cell
Livin' in hell, only a few of us'll live to tell
Now everybody talkin' about us, I could give a fuck
Like we the first ones to bomb and cuss
Nigga, tell me how you want it
[Chorus: K-Ci & JoJo]
How do you want it?
How do you  feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you  feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real

[Verse 3: 2Pac]
Raised as a youth, tell the truth
I got the scoop on how to get a bulletproof
Lickin' shots off from the roof
Before I was a teenager, mobile phone, Skypager
Game rules, I'm livin' major
My adversaries is lookin' worried
They paranoid of gettin' buried
One of us gon' see the cemetery
My only hope to survive if I wish to stay alive
Gettin' high, see the demons in my eyes, before I die
I wanna live my life and ball, make a couple million
And then I'm chillin', fade 'em all
These taxes got me crossed up and people tryin' to sue me
Media is in my business and they actin' like they know me
But I'ma mash out and peel out
I’m with a clique that’s quick to whip that fuckin' steel out
Yeah nigga, it's some new shit so better get up on it
When you see me, tell a nigga how you want it
How do you want it?
[Chorus: K-Ci & JoJo]
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real

[Interlude: 2Pac]
Me and my Nigga Johnny J...yeah we out
[Chorus: K-Ci & JoJo]
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real
[Outro: K-Ci & JoJo]
How do you want it?
How do you feel?
Comin' up as a nigga in the cash game
Livin' in the fast lane, I'm for real40Embed","'Cause I'm a rider, in and out just like a robbery I'll probably be a freak and let you get on top of me Get to rockin' these, nights full of Alizé A livin' legend you ain't heard about These niggas play these Cali days","'Cause I'm a wanderer, moving swiftly like a heist I'll likely unleash my wild side and let you take control","I'm sorry, but I can't provide the lines that follow those lyrics.",0,"I'm sorry, I'm unable to provide the lyrics that come before the given text.",3,0.03333333333333333,0.75,0.05102040816326531,0.7551020408163265
All By Myself,Céline Dion,Falling into You,69,"18 ContributorsAll By Myself Lyrics[Verse 1]
When I was young
I never needed anyone
And making love was just for fun
Those days are gone
Livin' alone
I think of all the friends I've known
When I dial the telephone
Nobody's home

[Chorus]
All by myself
Don't wanna be
All by myself
Anymore

[Verse 2]
Hard to be sure
Sometimes I feel so insecure
And loves so distant and obscure
Remains the cure

[Chorus]
All by myself
Don't wanna be
All by myself
Anymore
All by myself
Don't wanna live
All by myself
Anymore
You might also like[Bridge]
When I was young
I never needed anyone
Making love was just for fun
Those days are gone

[Chorus]
All by myself
Don't wanna be
All by myself
Anymore
All by myself
Don't wanna live
Oh
Don't wanna live
By myself, by myself
Anymore
By myself
Anymore
Oh
All by myself
Don't wanna live
I never, never, never
Needed anyone10Embed",When I dial the telephone Nobody's home  [Chorus] All by myself,"When I pick up the phone, there's no one there","I'm sorry, but I'm unable to provide the lines that follow that specific lyric.",3,"I'm sorry, but I'm unable to provide the lyrics that come before the segment ""home [Chorus] All by myself.""",0,0.07142857142857142,2.3214285714285716,0.14705882352941177,2.5588235294117645
If You Could Only See,Tonic,Lemon Parade,68,"19 ContributorsIf You Could Only See Lyrics[Chorus]
If you could only see the way she loves me
Then maybe you would understand
Why I feel this way about our love
And what I must do
If you could only see how blue her eyes can be when she says
When she says she loves me

[Verse 1]
Well, you got your reasons
And you've got your lies
And you got your manipulations
They cut me down to size

[Pre-Chorus 1]
Sayin' you know, but you don't
You give your love, but you won't

[Chorus]
If you could only see the way she loves me
Then maybe you would understand
Why I feel this way about our love
And what I must do
If you could only see how blue her eyes can be when she says
When she says she loves me
You might also like[Verse 2]
Seems the road less traveled
Shows happiness unraveled
And you gotta take a little dirt to keep what you love
That's what you gotta do

[Pre-Chorus 2]
Sayin' you know, but you don't
You give your love, but you won't
You're stretchin' out your arms to somethin' that's just not there
Sayin' you love where you stand
Give your heart when you can

[Chorus]
If you could only see the way she loves me
Then maybe you would understand
Why I feel this way about our love
And what I must do
If you could only see how blue her eyes can be when she says
When she says she loves me

[Guitar Solo]

[Pre-Chorus 2]
You're sayin' you know, but you don't
You give your love, but you won't
(But you won't)
Sayin' you love where you stand
Give your heart when you can
[Chorus]
If you could only see the way she loves me
Then maybe you would understand
Why I feel this way about our love
And what I must do
If you could only see how blue her eyes can be when she says
When she says she loves me4Embed"," [Pre-Chorus 1] Sayin' you know, but you don't You give your love, but you won't ","[Pre-Chorus 1] Claiming you understand, yet you","Sorry, I'm unable to generate the specific lyrics you're looking for.",-1,"I'm sorry, I'm unable to provide the preceding lyrics for that song segment.",0,-1.0,-1.0,0.05,1.55
Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,68,"15 ContributorsChange the World Lyrics[Verse 1]
If I could reach the stars
Pull one down for you
Shine it on my heart
So you could see the truth

That this love I have inside
Is everything it seems
But for now I find
It's only in my dreams

[Chorus]
And I can change the world
I will be the sunlight in your universe
You would think my love was really something good
Baby if I could change the world

[Verse 2]
If I could be king
Even for a day
I'd take you as my queen
I'd have it no other way

And our love would rule
In this kingdom we have made
'Til then I'd be a fool
Wishing for the day
You might also like[Chorus]
And I can change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby if I could change the world
Baby if I could change the world

[Chorus]
I could change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby if I could change the world
Baby if I could change the world
Baby if I could change the world3Embed", [Verse 2] If I could be king Even for a day I'd take you as my queen,"for just one day, I'd make all the rules go my way.","I'm sorry, I can't provide the continuation of these lyrics.",3,"I'm sorry, I'm unable to provide the lyrics that come before the given segment.",0,0.058823529411764705,1.2941176470588236,0.08823529411764706,1.8235294117647058
Where Do You Go,No Mercy,My Promise,67,"11 ContributorsWhere Do You Go Lyrics[Chorus Intro]
Where do you go, my lovely
Where do you go
I wanna know, my lovely, I wanna know
Where do you go, oh oh eh oh
I wanna know, oh oh eh oh
Where do you go, oh oh eh oh...
I wanna know...

[Verse 1]
You leave without a word, no message, no number
And now my head is pounding like rolling thunder
You left me with a heartache deep inside
Girl you should see me cry all night, and I wonder

Everybody says, what a shame, what is wrong
They don't like the game we play
Heard you're hanging round every night until dawn
I'm waiting for you night and day

[Chorus]
Where do you go, my lovely
Where do you go
I wanna know, my lovely, I wanna know

Where do you go, oh oh eh oh
I wanna know, oh oh eh oh
Where do you go, oh oh eh oh...
I wanna know...
You might also like[Verse 3]
You gotta break the silence, don't keep me waiting
Just like a river flowing to the sea
You are running back to me
Girl hear what I am saying
Come back and save me

[Chorus]
Where do you go, My Lovely
I wanna know

Where do you go, oh oh oh...
Where do you go, oh oh oh...
I wanna know

Na na na na nida, na na nida da da dee da
Na na na na nida, na na nida da da dee da

Where do you, where do you go?...
Where do you, where do you go?...

Save me...

Come back and dry the tears, I cried for you baby
You've gotta stop this heartache deep inside
You've gotta help me make it through the night safely
Come back and save me
[Chorus]
Where do you go, my lovely
Where do you go
I wanna know, my lovely, I wanna know
Where do you go, my lovely
Where do you go...
I wanna know...

Na na na na nida, na na nida da da dee da
Na na na na nida, na na nida da da dee da

Where do you, where do you go...Embed","[Chorus] Where do you go, my lovely Where do you go I wanna know, my lovely, I wanna know ","[Chorus] Where do you wander, my beautiful Where do you","wander tonight?  
Under the pale moonlight.",2,"I'm sorry, I cannot provide the lyrics that come before the given text.",2,0.07317073170731707,0.926829268292683,0.0625,1.1458333333333333
Born Slippy (Nuxx),Underworld,1992 - 2012,67,"40 ContributorsTranslationsEspañolDeutschBorn Slippy (Nuxx) Lyrics[Hook]
Drive boy, dog boy, dirty, numb angel boy
In the doorway boy, she was a lipstick boy
She was a beautiful boy and tears boy
And all in your inner space boy
You had hands girl boy and steel boy
You had chemicals boy, I've grown so close to you, boy
And you just groan boy, she said, ""come over, come over""
She smiled at you boy

[Hook]
Drive boy, dog boy, dirty, numb angel boy
In the doorway boy, she was a lipstick boy
She was a beautiful boy and tears boy
And all in your inner space boy
You had hands girl boy and steel boy
You had chemicals boy, I've grown so close to you, boy
And you just groan boy, she said, ""come over, come over""
She smiled at you boy

[Verse 1]
Let your feelings slip, boy, but never your mask boy
Random blonde boy, high density
Random blonde boy, blonde country
Blonde high density
You are my drug boy, you're real boy
Speak to me and boy, dog dirty numb cracking boy
You get wet boy, big, big time boy, acid bear boy
Babes and babes and babes and babes and babes
And remembering nothing boy, when you like my tin horn boy
And get wet like an angel, derail
You might also like[Verse 2]
You got a velvet mouth, you're so succulent and beautiful
Shimmering and dirty wonderful
And hot times on your telephone line
You got to neverland on your telephone and in walks an angel

[Verse 3]
And look at me, your mum squatting pissed in a tube hole
At Tottenham Court Road, I just come out of The Ship
Talking to the most blonde I ever met
Shouting, ""Lager, lager, lager, lager""
Shouting, ""Lager, lager, lager, lager""
Shouting, ""Lager, lager, lager, lager""
Shouting, ""Lager, lager, lager""
Shouting ""Mega, mega white thing, mega, mega
White thing, mega, mega white thing, mega, mega""
Shouting, ""Lager, lager, lager, lager
Mega, mega white thing, mega, mega white thing""
So many things to see and do in the tube hole, true blonde
Going back to Romford, mega, mega, mega
Going back to Romford, hi mum, are you having fun?
And now are you on your way to a new tension headache?8Embed","Speak to me and boy, dog dirty numb cracking boy You get wet boy, big, big time boy, acid bear boy Babes and babes and babes and babes and babes And remembering nothing boy, when you like my tin horn boy And get wet like an angel, derail","Talk to me, young man, like a messy, tough guy You dive in, guy, going all in, adventurous dude Young ones and more young ones","I'm sorry, I can't provide the lyrics that follow that segment.",0,"I'm sorry, but I'm unable to provide the lyrics that come before the given text.",3,0.02459016393442623,0.7868852459016393,0.03508771929824561,0.7456140350877193
Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,All Eyez On Me,69,"194 ContributorsOnly God Can Judge Me Lyrics[Intro: 2Pac]
Only God can judge me (That right?)
Only God can judge me now
Nobody else (Nobody else)
All you other motherfuckers get out my business (Really)
Only God can judge me now

[Verse 1: 2Pac]
Perhaps I was blind to the facts, stabbed in the back
I couldn't trust my own homies, just a bunch of dirty rats
Will I succeed? Paranoid from the weed
And hocus pocus, try to focus, but I can't see
And in my mind I'm a blind man doin' time
Look to my future, ‘cause my past is all behind me
Is it a crime to fight for what is mine?
Everybody's dyin', tell me what's the use in tryin'
I've been trapped since birth, cautious ‘cause I'm cursed
And fantasies of my family in a hearse
And they say it's the White man I should fear
But it's my own kind doin' all the killin' here
I can't lie, ain't no love for the other side
Jealousy inside, make 'em wish I died
Oh my Lord, tell me what I'm livin' for
Everybody's droppin', got me knockin' on Heaven's door
And all my memories of seein' brothers bleed
And everybody grieves, but still nobody sees
Recollect your thoughts, don't get caught up in the mix
‘Cause the media is full of dirty tricks
You might also like[Chorus: 2Pac]
Only God can judge me
Only God can judge me, only God
Only God can judge me
Only God can judge me
Only God can judge me, only God
Only God can judge me now
Only God can judge me, only God
Only God can judge me
Only God can judge me, only God
Only God can judge me

[Verse 2: 2Pac]
Flatline
I hear the doctor standin' over me, screamin' I can make it
Got a body full of bullet holes, layin' here naked
Still I can't breathe, something's evil in my IV
‘Cause everytime I breathe I think they killin' me
I'm havin' nightmares, homicidal fantasies
I wake up strangled, entangled in my bed sheets
I call the nurse ‘cause it hurts to reminisce
How did it come to this? I wish they didn't miss
Somebody help me, tell me where to go from here
‘Cause even thugs cry, but do the Lord care?
Try to remember but it hurts
I'm walkin' through the cemetery, talkin' to the dirt
I'd rather die like a man than live like a coward
There's a ghetto up in Heaven and it's ours
""Black Power!"" is what we scream
As we dream in a paranoid state
And our fate is a lifetime of hate
Dear Mama, can you save me? And fuck peace
‘Cause the streets got our babies, we gotta eat
No more hesitation, each and every black male's trapped
And they wonder why we suicidal running 'round strapped
Mr. Police, please try to see
That there's a million motherfuckers stressin' just like me
[Chorus: 2Pac]
Only God can judge me
Only God can judge me, only God
Only God can judge me
Only God can judge me
Only God can judge me, only God
Only God can judge me now
Only God can judge me, only God
Only God can judge me
Only God can judge me, only God
Only God can judge me

[Interlude: 2Pac]
That which does not kill me can only make me stronger
That's for real
And I don't see why everybody feel as though
That they gotta tell me how to live my life
You know?
Let me live, baby, let me live

[Verse 3: Rappin' 4-Tay]
Pac, I feel ya, keep servin' it on the reala
For instance, say a playa-hatin' mark is out to kill ya
Would you be wrong for buckin' a nigga to the pavement?
He gon' get me first, if I don't get him fool start prayin'
Ain't no such thing as self-defense in the court of law
So judge us when we get to where we're goin wearin' a cross
That's real, got him, lurked him, crept the fuck up on him
Sold a half a million tapes, now everybody want him
After talkin' behind my back like a bitch would
Tellin' them niggas, ""You can fade him""
Punk, I wish you would
It be them same motherfuckers in your face
That'll rush up in your place to get your safe
Knowin' you on that paper chase
Grass, glass, big screen and leather couch
My new shit is so fetti, already sold a ki or ounce
Bitch, remember 2Pac and 4-Tay
The same two brothers dodgin' bullets, representin' the Bay
Pac, when you was locked down, that's when ""I'll Be Around""
Start climbin' up the charts, so sick, but they tried to clown
That's why they ride the bandwagon
Still be draggin', sellin' lies
Don't think I don't see you haters, I know y'all in disguise
[Verse 4: 2Pac]
Guess you figure you know me, ‘cause I'm a thug
That love to hit the late night clubs drink them Buds
Been livin' lavish like a player all day
Now I'm 'bout to floss some boss player shit with 4-Tay

[Chorus: 2Pac]
Only God can judge me
Only God can judge me, only God
Only God can judge me
Only God can judge me
Only God can judge me, only God
Only God can judge me now
Only God can judge me, only God
Only God can judge me
Only God can judge me, only God
Only God can judge me

[Outro: 2Pac & Rappin 4-Tay]
Only God man
That right?
That’s real
Hahahahahaha
Fuck everybody else, you know what I’m sayin'?
Man, look here, man
My only fear of death
Is comin' back to this bitch reincarnated, man
That’s for the homie mental
Hehehehe
We up out84Embed","And they say it's the White man I should fear But it's my own kind doin' all the killin' here I can't lie, ain't no love for the other side Jealousy inside, make 'em wish I died Oh my Lord, tell me what I'm livin' for","People claim it's the White man I should be afraid of, yet it's my own people causing the violence here. I can't deny it,","when the hood we feed off.  
That's why I act like I do.",0,"I'm sorry, but I'm unable to provide the lines that come before the given text.",0,0.045454545454545456,0.7545454545454545,0.04716981132075472,0.7547169811320755
2 Become 1,Spice Girls,Spice,68,"27 Contributors2 Become 1 Lyrics[Verse 1: Sporty, Scary]
Candle light and soul forever
A dream of you and me together
Say you believe it, say you believe it
Free your mind of doubt and danger
Be for real, don't be a stranger
We can achieve it, we can achieve it

[Pre-Chorus: Baby]
Come a little bit closer, baby
Get it on, get it on
'Cause tonight is the night, when two become one

[Chorus: Ginger & Baby, Sporty & Posh, Scary]
I need some love like I never needed love before
Wanna make love to ya, baby
I had a little love, now I'm back for more
Wanna make love to ya, baby
Set your spirit free, it's the only way to be

[Verse 2: Sporty, Ginger]
Silly games that you were playing
Empty words we both were saying
Let's work it out, boy, let's work it out, boy
Any deal that we endeavour
Boys and girls feel good together
Take it or leave it, take it or leave it
You might also like[Pre-Chorus: Baby]
Are you as good as I remember, baby?
Get it on, get it on
'Cause tonight is the night, when two become one

[Chorus: Ginger & Baby, Sporty & Posh, Scary]
I need some love like I never needed love before
Wanna make love to ya, baby
I had a little love, now I'm back for more
Wanna make love to ya, baby
Set your spirit free, it's the only way to be

[Bridge: Baby]
Be a little bit wiser, baby
Put it on, put it on
'Cause tonight is the night, when two become one

[Chorus: Ginger & Baby, Sporty & Posh, Scary]
I need some love like I never needed love before
Wanna make love to ya, baby
I had a little love, now I'm back for more
Wanna make love to ya, baby
I need some love like I never needed love before
Wanna make love to ya, baby
I had a little love, now I'm back for more
Wanna make love to ya, baby
Set your spirit free, it's the only way to be
[Outro: Scary]
It's the only way to be
It's the only way to be5Embed","[Pre-Chorus: Baby] Come a little bit closer, baby Get it on, get it on 'Cause tonight is the night, when two become one ","[Pre-Chorus: Baby] Move a bit nearer, darling Let’s ignite, let","[Chorus: Baby]  
Light up the night with our fire  
Burn till the break of daylight  ",0,"I'm sorry, I can't provide the lyrics preceding the given text.",0,0.18181818181818182,1.0,0.03125,0.8125
